recipient_name,cleaned_names,exclude,Notes
ZUFFA POLITICAL ACTION COMMMITTEE,ZUFFA POLITICAL ACTION COMMMITTEE,y,
ZOUP!,ZOUP!,y,
ZORBAS CAFE,ZORBAS CAFE,,
ZORBAS,ZORBAS CAFE,,
ZORBA'S CAFE & CATERING,ZORBAS CAFE,,
ZORBA CAFE,ZORBAS CAFE,,
ZORBA'S CAFE,ZORBAS CAFE,,
ZORBA`S CAFE       Q,ZORBAS CAFE,,
ZOOMPH LLC,ZOOMPH LLC,y,
ZONA COCINA,ZONA COCINA,,
ZONA COCINA- BWI AIRPORT,ZONA COCINA,,
ZOLA WINE & KITCHEN,ZOLA WINE AND KITCHEN,,
ZOLA WINE AND KITCHEN,ZOLA WINE AND KITCHEN,,
ZOLA RESTAURANT,ZOLA RESTAURANT,,
ZOLA,ZOLA,,
ZOE'S KITCHEN,ZOE'S KITCHEN,,
ZOES,ZOE'S KITCHEN,,
ZOES KITCHEN,ZOE'S KITCHEN,,
"ZOCA MEXICAN RESTAURANT - CAPITOL HILL, WASHINGTON DC",ZOCA MEXICAN RESTAURENT,,
ZOCA MEXICAN RESTAURENT,ZOCA MEXICAN RESTAURENT,,
ZOCA MODERN MEXICAN,ZOCA MEXICAN RESTAURENT,,
ZOCA MEXICAN RESTAURANT,ZOCA MEXICAN RESTAURANT,,
ZOCA MEXICAN,ZOCA MEXICAN,,
ZOCA,ZOCA,,
ZINQUE,ZINQUE,,
ZINNIA - SILVER SPRING,ZINNIA - SILVER SPRING,y,
ZINBURGER,ZINBURGER,,
ZIKRAYET,ZIKRAYET,y,
ZIKI JAPANESE,ZIKI JAPANESE,,
"ZETA PHI BETA SORORITY, INC.","ZETA PHI BETA SORORITY, INC.",y,
ZET TAXI,ZET TAXI,y,
ZEST BISTRO,ZEST BISTRO,,
ZEST AMERICAN BISTRO,ZEST AMERICAN BISTRO,,
ZENTAN RESTAURANT,ZEPPELIN RESTAURANT,,
ZEPPELIN,ZEPPELIN RESTAURANT,,
ZEPPELIN RESTAURANT,ZEPPELIN RESTAURANT,,
ZENTAN,ZENTAN,,
ZENTAN / ADC,ZENTAN,,
ZENTAN / ADC 0395,ZENTAN,,
ZENGO RESTAURANT,ZENGO RESTAURANT,,
ZENGO,ZENGO,,
ZEMPBOA EVANS,ZEMPBOA EVANS,,
ZELLAS PIZZERIA,ZELLAS PIZZERIA,,
ZEFFERT AND GOLD CATERING-EVENT PLANNING,ZEFFERT AND GOLD CATERING-EVENT PLANNING,,
ZEBULON JONES,ZEBULON JONES,,
ZAYTINYA RESTAURANT,ZAYTINYA RESTAURANT,,
ZAYTINYA MEZZE,ZAYTINYA MEZZE,,
ZAYTINYA,ZAYTINYA,,
ZAYTINYA - WASHINGTON DC,ZAYTINYA,,
ZAYTANYA,ZAYTANYA,,
ZAXBY'S,ZAXBY'S,,
ZATINYA,ZATINYA,,
ZANDRA'S,ZANDRA'S,,
"ZAK'S CORPORATION, OMAR'S CARRIAGE HOUSE","ZAK'S CORPORATION, OMAR'S CARRIAGE HOUSE",y,
ZAATAR,ZAATAR,,
Z PIZZA,Z PIZZA,,
YUM COUTURE DC,YUM COUTURE DC,,
YUCA,YUCA,,
